pref_id,year,pop_total
CHN.23.3_1,2005,1969025.25
CHN.23.4_1,2005,8200932.5
CHN.23.5_1,2005,6458929
CHN.23.6_1,2005,7001151.5
CHN.23.7_1,2005,1172739
CHN.23.8_1,2005,5596758
CHN.23.9_1,2005,10189522
CHN.23.10_1,2005,8171372.5
CHN.23.11_1,2005,2784005.25
CHN.23.12_1,2005,5385413
CHN.23.13_1,2005,8930123
CHN.23.14_1,2005,2701501
CHN.23.15_1,2005,6861144
CHN.23.16_1,2005,4730536
CHN.23.17_1,2005,4830371
CHN.24.1_1,2005,19810002
CHN.25.1_1,2005,3268476.25
CHN.25.2_1,2005,3183027.75
CHN.25.3_1,2005,2238763.25
CHN.25.4_1,2005,3151535
CHN.25.5_1,2005,4137904.5
CHN.25.6_1,2005,3551811.75
CHN.25.7_1,2005,1588728.75
CHN.25.8_1,2005,3747480
CHN.25.9_1,2005,2944503.5
CHN.25.10_1,2005,1309722.125
CHN.25.11_1,2005,5103231
CHN.26.1_1,2005,3280695.25
CHN.26.2_1,2005,11875555
CHN.26.3_1,2005,5668824.5
CHN.26.4_1,2005,3674802.25
CHN.26.5_1,2005,985322
CHN.26.6_1,2005,3705211
CHN.26.7_1,2005,2752252.75
CHN.26.8_1,2005,3058663.5
CHN.26.9_1,2005,4325000
CHN.26.10_1,2005,4284114.5
CHN.26.11_1,2005,3386144.25
CHN.26.12_1,2005,4965995
CHN.26.13_1,2005,6524051.5
CHN.26.15_1,2005,2083644.625
CHN.26.14_1,2005,1931108
CHN.26.16_1,2005,1452788.625
CHN.26.17_1,2005,1147963.125
CHN.26.18_1,2005,3360157.25
CHN.26.19_1,2005,1498129.875
CHN.26.20_1,2005,4706693
CHN.26.21_1,2005,2772482.25
CHN.26.22_1,2005,4188341.75
CHN.27.1_1,2005,12768582
CHN.28.1_1,2005,2406148.25
CHN.28.2_1,2005,596609.625
CHN.28.3_1,2005,1172685.625
CHN.28.4_1,2005,433503.96875
CHN.28.5_1,2005,1679031.875
CHN.28.6_1,2005,531421.9375
CHN.28.7_1,2005,2414200.75
CHN.28.8_1,2005,298039.09375
CHN.28.9_1,2005,3785889
CHN.28.10_1,2005,1843938.625
CHN.28.11_1,2005,530367
CHN.28.12_1,2005,375311.8125
CHN.28.13_1,2005,1029042.3125
CHN.28.14_1,2005,584593
CHN.28.15_1,2005,2442020
CHN.29.1_1,2005,615462.875
CHN.29.2_1,2005,513510.84375
CHN.29.3_1,2005,418246.9375
CHN.29.4_1,2005,90896.28125
CHN.29.5_1,2005,185472.90625
CHN.29.6_1,2005,331100.75
CHN.29.7_1,2005,673670
CHN.30.1_1,2005,2414853
CHN.30.2_1,2005,2611065.75
CHN.30.3_1,2005,3403964.75
CHN.30.4_1,2005,1134760.125
CHN.30.5_1,2005,374816.53125
CHN.30.6_1,2005,4310603
CHN.30.7_1,2005,6184033.5
CHN.30.8_1,2005,1193365.75
CHN.30.9_1,2005,2350425.25
CHN.30.10_1,2005,498213.4375
CHN.30.11_1,2005,2502029
CHN.30.12_1,2005,5659913.5
CHN.30.13_1,2005,3382914.5
CHN.30.14_1,2005,1042323.3125
CHN.30.15_1,2005,2221974
CHN.30.16_1,2005,4847893
CHN.31.1_1,2005,8242307.5
CHN.31.2_1,2005,2724405.75
CHN.31.3_1,2005,4120124.25
CHN.31.4_1,2005,4996092.5
CHN.31.5_1,2005,2134488.75
CHN.31.6_1,2005,6892800
CHN.31.7_1,2005,2136685.5
CHN.31.8_1,2005,4536656
CHN.31.9_1,2005,5659187.5
CHN.31.10_1,2005,8649743
CHN.31.11_1,2005,980482.625
CHN.1.1_1,2010,5665883.5
CHN.1.2_1,2010,3392694.5
CHN.1.3_1,2010,4862597.5
CHN.1.4_1,2010,4102618.5
CHN.1.5_1,2010,1452397.875
CHN.1.6_1,2010,4084547.25
CHN.1.7_1,2010,7592488
CHN.1.8_1,2010,6024471.5
CHN.1.9_1,2010,2051713
CHN.1.10_1,2010,2189424.75
CHN.1.11_1,2010,1375266.5
CHN.1.12_1,2010,5763990
CHN.1.13_1,2010,1501673.375
CHN.1.14_1,2010,5426960
CHN.1.15_1,2010,746188.6875
CHN.1.16_1,2010,2166838.5
CHN.1.17_1,2010,2559850.5
CHN.2.1_1,2010,19748730
CHN.3.1_1,2010,29213664
CHN.4.1_1,2010,7437308.5
CHN.4.2_1,2010,2559600
CHN.4.3_1,2010,2681056.5
CHN.4.4_1,2010,2853468.75
CHN.4.5_1,2010,2754718.5
CHN.4.6_1,2010,8200714
CHN.4.7_1,2010,2516926
CHN.4.8_1,2010,3478818
CHN.4.9_1,2010,4903450
CHN.5.1_1,2010,1691763.875
CHN.5.2_1,2010,2703716.5
CHN.5.3_1,2010,703762.1875
CHN.5.4_1,2010,228522.703125
CHN.5.5_1,2010,466427.375
CHN.5.6_1,2010,1095016.625
CHN.5.7_1,2010,3659554.75
CHN.5.8_1,2010,1951776.125
CHN.5.9_1,2010,2581627.5
CHN.5.10_1,2010,2045288.5
CHN.5.11_1,2010,2209131.25
CHN.5.12_1,2010,3253729
CHN.5.13_1,2010,1795994.125
CHN.5.14_1,2010,1206919.625
CHN.6.1_1,2010,2765690
CHN.6.2_1,2010,8553159
CHN.6.3_1,2010,7438265
CHN.6.4_1,2010,13565232
CHN.6.5_1,2010,2989674
CHN.6.6_1,2010,4790206
CHN.6.7_1,2010,4826161.5
CHN.6.8_1,2010,5885300.5
CHN.6.9_1,2010,5850843.5
CHN.6.10_1,2010,4247371.5
CHN.6.11_1,2010,3738182.25
CHN.6.12_1,2010,5657778.5
CHN.6.13_1,2010,2955465.75
CHN.6.14_1,2010,2878741
CHN.6.15_1,2010,9903103
CHN.6.16_1,2010,2465502.75
CHN.6.17_1,2010,2349364.5
CHN.6.18_1,2010,7182910
CHN.6.19_1,2010,4074546.5
CHN.6.20_1,2010,3173035
CHN.6.21_1,2010,2040417
CHN.7.1_1,2010,3473257.25
CHN.7.2_1,2010,1526035.875
